id,collection,dc.contributor.advisor[en_US],dc.contributor.author[en_US],dc.date.issued[en_US],dc.description.abstract[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.language[en_US],dc.note[en_US],dc.publisher[en_US],dc.subject[en_US],dc.thesis.degree[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US],ou.identifier[en_US]
1901,11244/111,,"Ginsberg, Leon H.",1966,,"vii, 276 leaves ;",http://hdl.handle.net/11244/2013,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: A, page: 1084.",The University of Oklahoma.,"Insanity (Law) Oklahoma.||Political Science, General.||Civil rights Oklahoma.||Mentally ill Commitment and detention||Mental health laws Oklahoma.",Ph.D.,,Civil rights of the mentally ill and mentally retarded in Oklahoma /,Thesis,(UMI)AAI6610173
2087,11244/111,,"Frihart, Dale Monroe,",1967,,"vi, 156 leaves ;",http://hdl.handle.net/11244/2199,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1205.",The University of Oklahoma.,"Sociology Study and teaching.||Education, General.",Educat.D.,,The extent to which desirable sociological concepts are included in the social studies curriculum of selected secondary schools /,Thesis,(UMI)AAI6712002
1944,11244/111,,"Totten, Herman L.",1966,,"xi, 179 leaves ;",http://hdl.handle.net/11244/2056,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1846.",The University of Oklahoma.,Audio-visual education.||Teaching Aids and devices.||Library schools Curricula.||Library Science.,Ph.D.,,An analysis and evaluation of the use of educational media in the teaching of library science in accredited American graduate library schools /,Thesis,(UMI)AAI6611793
1926,11244/111,,"Fulcher, Eva Slater,",1966,,"iv, 150 leaves ;",http://hdl.handle.net/11244/2038,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: A, page: 1055.",The University of Oklahoma.,"Middleton, Thomas, -1627||Literature, Modern.",Ph.D.,,The seamy side of the tragic vision :,Thesis,(UMI)AAI6610497
1902,11244/111,,"Grigsby, Ronald Davis,",1966,,"vii, 107 leaves :",http://hdl.handle.net/11244/2014,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1113.",The University of Oklahoma.,"Chemistry, Physical.||Acetamide.||Hydration.",Ph.D.,,Self-association and hydration of N-methylacetamide in carbon tetrachloride /,Thesis,(UMI)AAI6610174
2088,11244/111,,"Lam, Charlotte Dawson,",1967,,"ix, 85 leaves ;",http://hdl.handle.net/11244/2200,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1211.",The University of Oklahoma.,"Illustrated children's books||Education, General.||Readers.",Ph.D.,,Pupil preference for four art styles used in primary reading textbooks /,Thesis,(UMI)AAI6712003
1919,11244/111,,"Ro, Kwang H.",1966,,199 leaves ;,http://hdl.handle.net/11244/2031,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1893.",The University of Oklahoma.,"Korea Politics and government 1864-1910.||Korea Foreign relations.||Political Science, International Law and Relations.",Ph.D.,,"Power politics in Korea and its impact on Korean foreign and domestic affairs, 1882-1907 /",Thesis,(UMI)AAI6610191
1911,11244/111,,"Middlebrook, Robert Eugene,",1966,,"vi, 78 leaves :",http://hdl.handle.net/11244/2023,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1095.",The University of Oklahoma.,"Chemistry, Organic.",Ph.D.,,"Studies in the elucidation of structure of mammosin, a diterpene lactone /",Thesis,(UMI)AAI6610183
2089,11244/111,,"Mofeez, Sayyed Mohammad,",1967,,"vii, 120 leaves :",http://hdl.handle.net/11244/2201,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: B, page: 1514.",The University of Oklahoma.,"Feedback control systems.||Linear programming.||Mathematical optimization.||Engineering, Electronics and Electrical.",Ph.D.,,Synthesis of optimum linear multivariable systems /,Thesis,(UMI)AAI6712004
1958,11244/111,,"Deloache, Dan Franklin,",1966,,"viii, 123 leaves ;",http://hdl.handle.net/11244/2070,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1582.",The University of Oklahoma.,"Universities and colleges Oklahoma Administration.||Universities and colleges Oklahoma Faculty.||Education, Administration.||College presidents.||Junior colleges Oklahoma.",Ph.D.,,Attitudes and opinions of faculty members and junior college presidents toward selected descriptions of the office of college president /,Thesis,(UMI)AAI6614204
1933,11244/111,,"Rowland, Roy Cecil,",1966,,"v, 63 leaves :",http://hdl.handle.net/11244/2045,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1313.",The University of Oklahoma.,"Psychology, Experimental.||Audiometry.||Hearing Experiments.",Ph.D.,,The interaural intensity difference limen /,Thesis,(UMI)AAI6610504
2090,11244/111,,"Roberts, James Andrew,",1967,,"viii, 121 leaves :",http://hdl.handle.net/11244/2202,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: B, page: 1649.",The University of Oklahoma.,"Molecular dynamics.||Molecules.||Physics, Molecular.||Microwave spectroscopy.",Ph.D.,,Studies of line width of microwave spectra of symmetric top molecules /,Thesis,(UMI)AAI6712005
1903,11244/111,,"Hopper, Fred Anderson,",1966,,"v, 46 leaves ;",http://hdl.handle.net/11244/2015,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1328.",The University of Oklahoma.,"Glycine Metabolism.||Biology, Zoology.||Tapeworms",Ph.D.,,In vitro and in vivo glycine absorption by two species of Hymenolepis (cestoidea) /,Thesis,(UMI)AAI6610175
1912,11244/111,,"Mizelle, Joseph William,",1966,,"vi, 70 leaves :",http://hdl.handle.net/11244/2024,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1064.",The University of Oklahoma.,"Grapefruit.||Flavonoids.||Chemistry, Biochemistry.||Glycosides.",Ph.D.,,Studies of flavanone glycosides from the grapefruit /,Thesis,(UMI)AAI6610184
1927,11244/111,,"Harrison, Arthur Reading,",1966,,"viii, 196 leaves :",http://hdl.handle.net/11244/2039,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: A, page: 0924.",The University of Oklahoma.,"Education, Adult and Continuing.||Adult education Oklahoma.",Ph.D.,,Adult education in the state of Oklahoma /,Thesis,(UMI)AAI6610498
2091,11244/111,,"Shelton, George Allen,",1967,,"vi, 73 leaves :",http://hdl.handle.net/11244/2203,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: B, page: 1646.",The University of Oklahoma.,"Shock waves.||Physics, Electricity and Magnetism.||Electric discharges through gases.",Ph.D.,,An investigation into the structure of electron fluid-dynamical waves /,Thesis,(UMI)AAI6712006
1920,11244/111,,"Smith, Gerald Lynn,",1966,,"vi, 110 leaves :",http://hdl.handle.net/11244/2032,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1159.",The University of Oklahoma.,"Kinetic theory of gases.||Transport theory.||Engineering, Electronics and Electrical.",Ph.D.,,A solution of the Boltzmann's equation for the electrical conductivity of a slightly ionized gas (in the presence of a weak magnetic field) /,Thesis,(UMI)AAI6610192
1904,11244/111,,"Hwang, Yeong-wen,",1966,,"vi, 92 leaves :",http://hdl.handle.net/11244/2016,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1921.",The University of Oklahoma.,"Transistor amplifiers.||Engineering, Electronics and Electrical.||Electronic apparatus and appliances.",Ph.D.,,A thin-film distributed amplifier using transmission lines and MOS  transistors /,Thesis,(UMI)AAI6610176
1939,11244/111,,"Fromm, David M.,",1966,,"v, 98 leaves ;",http://hdl.handle.net/11244/2051,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 2133.",The University of Oklahoma.,"Psychology, Clinical.||Bender-Gestalt Test.",Ph.D.,,A study of some factors in the Bender Gestalt reproductions of well adjusted and poorly adjusted boys with particular emphasis upon the interpretative process /,Thesis,(UMI)AAI6611788
2092,11244/111,,"Smith, Leonard Glenn,",1967,,"xiv, 312 leaves :",http://hdl.handle.net/11244/2204,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1272.",The University of Oklahoma.,"United States. Office of Education History.||Education, History of.",Ph.D.,,"A history of the United States Office of Education, 1867-1967 /",Thesis,(UMI)AAI6712007
1978,11244/111,,"Little, Ernest Leon,",1966,,"v, 70 leaves ;",http://hdl.handle.net/11244/2090,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 2139.",The University of Oklahoma.,"Psychology, Clinical.||Parental behavior in animals.||Animals Infancy.||Animal behavior.||Sheep.",Ph.D.,,Visual cliff performance of domestic lambs as a function of various mothering conditions /,Thesis,(UMI)AAI6614224
1971,11244/111,,"Iranpanah, Assad,",1966,,"xi, 214 leaves :",http://hdl.handle.net/11244/2083,,"Source: Dissertation Abstracts International, Volume: 27-07, Section: B, page: 2412.",The University of Oklahoma.,Geochemistry.||Geology.||Petrology Oklahoma Seminole County.||Petrology Oklahoma Pontotoc county.,Ph.D.,,"Petrology, origin and trace element geochemistry of the Ada formation, Seminole and Pontotoc counties, Oklahoma /",Thesis,(UMI)AAI6614217
1954,11244/111,,"Cota, Harold Maurice,",1966,,"xiii, 179 leaves :",http://hdl.handle.net/11244/2066,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1892.",The University of Oklahoma.,"Engineering, Chemical.||Catalysis.||Nickel catalysts.||Peroxides.||Semiconductors.",Ph.D.,,Semiconductivity and catalytic activity :,Thesis,(UMI)AAI6614200
1913,11244/111,,"Monzingo, Montie Gene,",1966,,"iv, 35 leaves ;",http://hdl.handle.net/11244/2025,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1218.",The University of Oklahoma.,Group theory.||Mathematics.||Algebraic fields.,Ph.D.,,Some generalizations of Kummer's theorem (Hilbert's theorem 90) /,Thesis,(UMI)AAI6610185
1905,11244/111,,"Jacobs, Marc Quillen,",1966,,"iv, 102 leaves ;",http://hdl.handle.net/11244/2017,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1216.",The University of Oklahoma.,Mathematical optimization.||Mathematics.||Control theory.,Ph.D.,,The existence of optimal controls /,Thesis,(UMI)AAI6610177
2093,11244/111,,"Walker, Billy Jay,",1967,,"xiii, 228 leaves :",http://hdl.handle.net/11244/2205,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: B, page: 1537.",The University of Oklahoma.,"Vibration.||Engineering, Mechanical.||Oscillations.||Heat Transmission.",Ph.D.,,Flow instability thresholds in a natural-circulation loop /,Thesis,(UMI)AAI6712008
1921,11244/111,,"Wall, Richard Lee,",1966,,"vii, 114 leaves :",http://hdl.handle.net/11244/2033,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1298.",The University of Oklahoma.,"Psychology, Clinical.||Attitude change.",Ph.D.,,Attitude change :,Thesis,(UMI)AAI6610193
1950,11244/111,,"Blancett, Allen Leroy,",1966,,1 v. (various pagings) :,http://hdl.handle.net/11244/2062,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1890.",The University of Oklahoma.,"High pressure (Science) Research.||Helium.||Engineering, Chemical.||Argon.",Ph.D.,,Volumetric behavior of helium-argon mixtures at high pressure and moderate temperature /,Thesis,(UMI)AAI6614196
1928,11244/111,,"Hyde, Robert Wallace,",1966,,"vi, 136 leaves :",http://hdl.handle.net/11244/2040,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: B, page: 1090.",The University of Oklahoma.,"Chemistry, Organic.||Ethers.||Enamines.",Ph.D.,"Isolation of chlorine-containing compounds from the gorgonian, Briareum asbestinum pallas.||Olefins from hydroboration of enamines.||Stereochemistry of the Wittig rearrangement.","I. STEREOCHEMISTRY OF THE WITTIG REARRANGEMENT. II. OLEFINS FROM THE HYDROBORATION OF ENAMINES. III. ISOLATION OF CHLORINE-CONTAINING COMPOUNDS FROM THE GORGONIAN, BRIAREUM ASBESTINUM, PALLAS.",Thesis,(UMI)AAI6610499
1940,11244/111,,"Hoffman, Steven D.",1966,,"vi, 97 leaves ;",http://hdl.handle.net/11244/2052,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 2136.",The University of Oklahoma.,"Psychology, Clinical.||Bender-Gestalt Test.",Ph.D.,,The Bender Gestalt test :,Thesis,(UMI)AAI6611789
2096,11244/111,,"Capehart, B. L.",1967,,"vi, 121 leaves :",http://hdl.handle.net/11244/2208,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: B, page: 1462.",The University of Oklahoma.,"Adaptability (Psychology) Mathematical models.||Biological control systems.||Homeostasis.||Cybernetics.||Engineering, General.",Ph.D.,,Digital simulation of the Homeostat modified to show memory and learning /,Thesis,(UMI)AAI6712313
1922,11244/111,,"Wise, Charles N.,",1966,,"vi, 85 leaves ;",http://hdl.handle.net/11244/2034,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: A, page: 1145.",The University of Oklahoma.,Theater.||Reasoning.||Persuasion (Rhetoric)||Influence (Psychology)||Decision making.,Ph.D.,,An investigation of choice among modes of reasoning /,Thesis,(UMI)AAI6610194
2097,11244/111,,"Ferrell, Margaret Jean C.,",1967,,"iv, 194 leaves ;",http://hdl.handle.net/11244/2209,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1432.",The University of Oklahoma.,"Literature, Modern.||Hawthorne, Nathaniel, 1804-1864.",Ph.D.,,Dissolving the gross actuality of fact :,Thesis,(UMI)AAI6712314
1962,11244/111,,"Duncan, Robert Clyde,",1966,,"vi, 94 leaves :",http://hdl.handle.net/11244/2074,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 2022.",The University of Oklahoma.,Mathematics.||Mathematical statistics.||Probabilities.,Ph.D.,,An exact probability test for independence in 2k contiingency tables :,Thesis,(UMI)AAI6614208
1929,11244/111,,"Johnson, James Herbert,",1966,,"v, 357 leaves ;",http://hdl.handle.net/11244/2041,,"Source: Dissertation Abstracts International, Volume: 27-04, Section: A, page: 1095.",The University of Oklahoma.,"Political Science, International Law and Relations.||Reconstruction (1939-1951) Europe.||United States Foreign relations Europe.||United States Foreign relations administration.||Economic assistance, American.",Ph.D.,,The Marshall Plan :,Thesis,(UMI)AAI6610500
1946,11244/111,,"Anderson, Richard John,",1966,,"viii, 105 leaves :",http://hdl.handle.net/11244/2058,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 2100.",The University of Oklahoma.,Subject No Longer Used.||Mercury.||Atoms.||Electrons Scattering (Physics),Ph.D.,,Excitation of mercury atoms by electron impact /,Thesis,(UMI)AAI6614192
2098,11244/111,,"Forrest, Jack Lavan.",1967,,"iv, 250 leaves ;",http://hdl.handle.net/11244/2210,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1370.",The University of Oklahoma.,"History, Modern.||DÌÓë©íÏaz, Porfirio, 1830-1915.||United States Foreign relations Mexico.||Mexico Foreign relations United States.",Ph.D.,,"United States recognition of the Porfirio D‰ö_‰äÊ government, 1876-1878 /",Thesis,(UMI)AAI6712315
1951,11244/111,,"Boggs, John Vincent,",1966,,"vi, 98 leaves :",http://hdl.handle.net/11244/2063,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 2074.",The University of Oklahoma.,"Uranium.||Physics, Nuclear.||Gamma ray spectrometry.||Fission products.||Energy.",Ph.D.,,Gamma-ray spectra of fission products from U®Ê‰ä_®Ê‰ä´5 as a function of time after fission /,Thesis,(UMI)AAI6614197
1941,11244/111,,"Shakra, Akram S.,",1966,,"vi, 233 leaves ;",http://hdl.handle.net/11244/2053,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1495.",The University of Oklahoma.,"Land tenure Syria.||Syria Rural conditions.||Economics, Agricultural.",Ph.D.,,Land reform in Syria /,Thesis,(UMI)AAI6611790
1959,11244/111,,"Dickinson, John Alvin,",1966,,"iv, 170 leaves ;",http://hdl.handle.net/11244/2071,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1702.",The University of Oklahoma.,"Learning, Psychology of.||Shorthand Study and teaching.||Education, General.||Shorthand Psychological aspects.",Educat.D.,,The role of practice in shorthand skill development as related to selected classical theories of learning /,Thesis,(UMI)AAI6614205
1955,11244/111,,"Dauben, Dwight L.,",1966,,"x, 147 leaves :",http://hdl.handle.net/11244/2067,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1892.",The University of Oklahoma.,"Engineering, Chemical.||Non-Newtonian fluids.||Polymerization.",Ph.D.,,Non-Newtonian flow through porous media /,Thesis,(UMI)AAI6614201
1936,11244/111,,"Bale, John Thomas,",1966,,"vi, 207 leaves ;",http://hdl.handle.net/11244/2048,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1532.",The University of Oklahoma.,"Nichols, Frederick G. (Frederick George), 1878-1954||Education, General.||Business education United States.",Educat.D.,,The beliefs about secondary school business education held by Frederick G. Nichols /,Thesis,(UMI)AAI6611785
1947,11244/111,,"Beck, Don Edward,",1966,,"v, 245 leaves ;",http://hdl.handle.net/11244/2059,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1953.",The University of Oklahoma.,"Theater.||United States History Civil War, 1861-1865 Propaganda.||United States History Civil War, 1861-1865 Causes.",Ph.D.,,The rhetoric of conflict and compromise :,Thesis,(UMI)AAI6614193
1942,11244/111,,"Smith, Robert Thomas.",1966,,"iv, 266 leaves ;",http://hdl.handle.net/11244/2054,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1772.",The University of Oklahoma.,"United States Foreign relations China.||History, Modern.||Hurley, Patrick J. (Patrick Jay), 1883-1963.",Ph.D.,,Alone in China :,Thesis,(UMI)AAI6611791
1974,11244/111,,"Lambert, B. Geraldine",1966,,"viii, 130 leaves ;",http://hdl.handle.net/11244/2086,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1660.",The University of Oklahoma.,"Education, Educational Psychology.||Vocational guidance.||Occupations.||Parent and child.",Ph.D.,,A revision of the parent-child relations questionnaire to investigate Roe's occupational choice theory with adolescent girls /,Thesis,(UMI)AAI6614220
1966,11244/111,,"Hardy, Hubert Arthur,",1966,,"vi, 51 leaves ;",http://hdl.handle.net/11244/2078,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1657.",The University of Oklahoma.,"Education, Educational Psychology.||Learning, Psychology of.||Self-evaluation.||Children with mental disabilities",Ph.D.,,The relationship between self-attitudes and performance on a paired-associates learning task in educable retardates /,Thesis,(UMI)AAI6614212
1963,11244/111,,"Dunn, Donald J.,",1966,,"vii, 126 leaves :",http://hdl.handle.net/11244/2075,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1712.",The University of Oklahoma.,"Tuberculosis Vaccination.||Tuberculin test.||Tuberculosis Research.||Biology, Microbiology.",Ph.D.,,"Isolation, partial purification, and biological activity of guinea pig leukocytic transfer factor /",Thesis,(UMI)AAI6614209
1952,11244/111,,"Burnett, Jerrold J.,",1966,,"vi, 32 leaves :",http://hdl.handle.net/11244/2064,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1876.",The University of Oklahoma.,"Radioactivity Measurement.||Engineering, General.||Tritium.",Ph.D.,,A low cost measurement technique (detection and concentration) of tritium in water /,Thesis,(UMI)AAI6614198
1960,11244/111,,"Dicks, Samuel Eugene,",1966,,"iv, 317 leaves ;",http://hdl.handle.net/11244/2072,,"Source: Dissertation Abstracts International, Volume: 27-07, Section: A, page: 2111.",The University of Oklahoma.,"France Foreign relations Great Britain.||Great Britain Foreign relations France.||Great Britain History Henry VI, 1422-1461.||France History Charles VII, 1422-1461.||History, Medieval.",Ph.D.,,The question of peace :,Thesis,(UMI)AAI6614206
1972,11244/111,,"Jinks, Lydia Henson,",1966,,"vi, 94 leaves ;",http://hdl.handle.net/11244/2084,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1627.",The University of Oklahoma.,"Education, Guidance and Counseling.||Counseling Bibliography.||Educational counseling Bibliography.",Ph.D.,,A content analysis of selected books related to principles of counseling /,Thesis,(UMI)AAI6614218
1977,11244/111,,"Lin, Tzu Fang,",1966,,"viii, 120 leaves :",http://hdl.handle.net/11244/2089,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1859.",The University of Oklahoma.,"Hydrogen bonding.||Chemistry, Physical.||Ketones.||Hydration.",Ph.D.,,Self-association and hydration of ketones in organic solvents /,Thesis,(UMI)AAI6614223
1970,11244/111,,"Ingler, James Boyd,",1966,,"iv, 194 leaves ;",http://hdl.handle.net/11244/2082,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1824.",The University of Oklahoma.,"Nerval, GÌÓë©íÏrard de, 1808-1855.||Literature, Modern.",Ph.D.,,Woman as myth in the works of G‰ö_‰ª_rd de Nerval /,Thesis,(UMI)AAI6614216
1967,11244/111,,"Heyer, Claude Herbert,",1966,,"ix, 750 leaves :",http://hdl.handle.net/11244/2079,,"Source: Dissertation Abstracts International, Volume: 27-10, Section: A, page: 3496.",The University of Oklahoma.,"Indians of North America Government relations.||Indians of North America.||Political Science, General.",Ph.D.,,American Indian self sufficiency :,Thesis,(UMI)AAI6614213
1984,11244/111,,"Mcphail, Gene Douglas,",1966,,"vi, 77 leaves ;",http://hdl.handle.net/11244/2096,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1597.",The University of Oklahoma.,"School districts Oklahoma.||Education, Administration.||Education Oklahoma Finance.",Educat.D.,,School district size and per pupil expenditure /,Thesis,(UMI)AAI6614230
1973,11244/111,,"Kim, Jang Ho,",1966,,"vi, 81, 19 leaves :",http://hdl.handle.net/11244/2085,,"Source: Dissertation Abstracts International, Volume: 27-07, Section: B, page: 2393.",The University of Oklahoma.,"Silver alloys.||Lead alloys.||Engineering, Metallurgy.||Bismuth alloys.",Ph.D.,,A study of vapors of pure bismuth and lead :,Thesis,(UMI)AAI6614219
1979,11244/111,,"Lynch, Robert Hugh,",1966,,"vi, 74 leaves :",http://hdl.handle.net/11244/2091,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 2070.",The University of Oklahoma.,"Ionization of gases.||Electrons Scattering.||Electric discharge through gases.||Physics, Electricity and Magnetism.",Ph.D.,,The effects of gas heating and volume recombination on electron density profiles in the positive column /,Thesis,(UMI)AAI6614225
1987,11244/111,,"Moss, Ronnie Lee,",1966,,"vi, 84 leaves ;",http://hdl.handle.net/11244/2099,,"Source: Dissertation Abstracts International, Volume: 27-07, Section: A, page: 2010.",The University of Oklahoma.,"Education Research.||Education, General.",Ph.D.,,Competencies of the educational researcher /,Thesis,(UMI)AAI6614233
1981,11244/111,,"Masinton, Charles G.",1966,,"viii, 249 leaves ;",http://hdl.handle.net/11244/2093,,"Source: Dissertation Abstracts International, Volume: 27-07, Section: A, page: 2133.",The University of Oklahoma.,"Marlowe, Christopher, 1564-1593.||Literature, General.",Ph.D.,,Apollo's laurel bough :,Thesis,(UMI)AAI6614227
1986,11244/111,,"Milacek, Barbara Roads,",1966,,"vi, 198 leaves ;",http://hdl.handle.net/11244/2098,,"Source: Dissertation Abstracts International, Volume: 27-07, Section: A, page: 2056.",The University of Oklahoma.,"Microscopy.||Microscopes.||Science Study and teaching.||Education, History of.",Ph.D.,,The microscope and nineteenth century education /,Thesis,(UMI)AAI6614232
1983,11244/111,,"Mcgraw, Joseph J.,",1966,,"vii, 86 leaves ;",http://hdl.handle.net/11244/2095,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1552.",The University of Oklahoma.,"Intelligence levels.||Reading.||Reading disability.||Academic achievement.||Education, General.",Ph.D.,,A comparison of mean subtest raw scores on the Wechsler intelligence scale for children of regular and over-achieving readers with under-achieving readers /,Thesis,(UMI)AAI6614229
2101,11244/111,,"Macneil, Mark K.,",1967,,"vii, 210 leaves :",http://hdl.handle.net/11244/2213,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1526.",The University of Oklahoma.,"Social interaction.||Psychology, Social.||Leadership.||Interpersonal relations.||Social groups.",Ph.D.,,Power of status in norm formation under differing conditions of group solidarity /,Thesis,(UMI)AAI6712318
2110,11244/111,,"Fink, Reginald H.",1967,,"vii, 134 leaves ;",http://hdl.handle.net/11244/2222,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1233.",The University of Oklahoma.,"Music Instruction and study.||Education, Administration.",Ph.D.,,The education of orchestral musicians :,Thesis,(UMI)AAI6712665
2165,11244/111,,"Tipton, Chelsea",1967,,"viii, 147 leaves :",http://hdl.handle.net/11244/2277,,"Source: Dissertation Abstracts International, Volume: 28-07, Section: A, page: 2722.",The University of Oklahoma.,Music.||Music in universities and colleges United States.,D.Mus.Ed.,,Problems in curriculum design for teacher education in the small college music department /,Thesis,(UMI)AAI6716491
1989,11244/111,,"Mullis, Charles Howell,",1966,,"ix, 55 leaves :",http://hdl.handle.net/11244/2101,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1915.",The University of Oklahoma.,"Fluid mechanics.||Engineering, Civil.||Hydraulics.||Sedimentation and deposition.",Ph.D.,,Turbulent flow tractive forces on granular bed materials /,Thesis,(UMI)AAI6614235
2102,11244/111,,"Mccord, Kenneth Ray,",1967,,"vii, 181 leaves ;",http://hdl.handle.net/11244/2214,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: A, page: 1180.",The University of Oklahoma.,"Economics, Commerce-Business.||Critical path analysis.||Linear programming.||Controllership.||Operations research.",Ph.D.,,An analysis of some of the most useful quantitative methods relating to the controllership function /,Thesis,(UMI)AAI6712319
3502,11244/111,,"Curran, Claude Warren,",1973,,"xiii, 139 leaves :",http://hdl.handle.net/11244/3614,,"Source: Dissertation Abstracts International, Volume: 34-08, Section: B, page: 3846.",The University of Oklahoma.,Vegetation and climate California.||Geography.,Ph.D.,,The Mendocino Chaparral :,Thesis,(UMI)AAI7404005
2124,11244/111,,"Whatley, Alice Elrod,",1967,,"vii, 125 leaves ;",http://hdl.handle.net/11244/2236,,"Source: Dissertation Abstracts International, Volume: 28-05, Section: A, page: 1683.",The University of Oklahoma.,"Education, Guidance and Counseling.||Educational counseling.||Vocational guidance.||Youth Employment.||Counseling.",Ph.D.,,Generalizations related to concepts important for youth orientation to the world of work /,Thesis,(UMI)AAI6714143
1990,11244/111,,"Muskrat, Eleanor Maxine,",1966,,"v, 96 leaves ;",http://hdl.handle.net/11244/2102,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: A, page: 1554.",The University of Oklahoma.,"Shopping.||Consumer education.||Education, General.||Grocery shopping.",Ph.D.,,Elements in buying conceptually defined /,Thesis,(UMI)AAI6614236
2111,11244/111,,"Grant, F. Blake,",1967,,"vi, 69 leaves :",http://hdl.handle.net/11244/2223,,"Source: Dissertation Abstracts International, Volume: 28-04, Section: B, page: 1728.",The University of Oklahoma.,"Killifishes.||Goldfish.||Biology, Zoology.||Thyrotropin.||Thyroid gland.",Ph.D.,,The thyroid response to purified mammalian thyrotropin and partially purified fish thyrotropic factors in goldfish (Carassius auratus) and killifish (Fundulus heteroclitus) /,Thesis,(UMI)AAI6712666
2118,11244/111,,"Lewis, Lyman Cliffton,",1967,,"viii, 124 leaves :",http://hdl.handle.net/11244/2230,,"Source: Dissertation Abstracts International, Volume: 28-05, Section: B, page: 1841.",The University of Oklahoma.,"Pyridine.||Cobalt.||Chemistry, Inorganic.",Ph.D.,,A study of depyridination of dichlorohexakis (pyridine) cobalt (II) /,Thesis,(UMI)AAI6714137
2000,11244/111,,"Savage, Norman L.",1966,,"vii, 79 leaves :",http://hdl.handle.net/11244/2112,,"Source: Dissertation Abstracts International, Volume: 27-06, Section: B, page: 1718.",The University of Oklahoma.,"X-rays Safety measures.||Staphylococcus aureus.||Biology, Microbiology.",Ph.D.,,Photoprotection against X-ray damage in Staphylococcus aureus /,Thesis,(UMI)AAI6614246
